,Distance,Duration,Ad1,Ad2
183,123 km,1 hour 13 mins,49+Macy+St+Amesbury+MA,5+Forge+Parkway+Franklin+MA
184,104 km,1 hour 3 mins,49+Macy+St+Amesbury+MA,640+Lincoln+Street+Worcester+MA
185,66.2 km,51 mins,49+Macy+St+Amesbury+MA,541+Massachusetts+Ave+Cambridge+MA
186,136 km,1 hour 22 mins,49+Macy+St+Amesbury+MA,640+Douglas+St+Uxbridge+MA
187,48.0 km,38 mins,49+Macy+St+Amesbury+MA,462+Highland+Ave+Salem+MA
188,71.0 km,48 mins,49+Macy+St+Amesbury+MA,38+Littleton+Rd+Ayer+MA
189,72.9 km,49 mins,49+Macy+St+Amesbury+MA,31+Central+Ave+Ayer+MA
190,21.0 km,15 mins,107+Elm+St+Salisbury+MA,68+Tenney+St+Georgetown+MA
191,122 km,1 hour 13 mins,107+Elm+St+Salisbury+MA,266+North+Main+Street+Millbury+MA
192,115 km,1 hour 8 mins,107+Elm+St+Salisbury+MA,65+Pullman+Street+Worcester+MA
193,110 km,1 hour 8 mins,107+Elm+St+Salisbury+MA,65+West+Boylston+Street+W+Boylston+MA
194,100 km,1 hour 6 mins,107+Elm+St+Salisbury+MA,416+Boston+Post+Road+Marlborough+MA
195,17.8 km,17 mins,107+Elm+St+Salisbury+MA,116+Newburyport+Turnpike+Rowley+MA
196,44.7 km,48 mins,107+Elm+St+Salisbury+MA,38+Great+Republic+Drive+Gloucester+MA
197,16.4 km,15 mins,107+Elm+St+Salisbury+MA,300+Newburyport+Turnpike+Rowley+MA
198,47.4 km,34 mins,107+Elm+St+Salisbury+MA,50+Grove+St+Salem+MA
199,3.7 km,5 mins,107+Elm+St+Salisbury+MA,49+Macy+St+Amesbury+MA
200,1 m,1 min,107+Elm+St+Salisbury+MA,107+Elm+St+Salisbury+MA
201,49.1 km,39 mins,107+Elm+St+Salisbury+MA,3+Dodge+Street+Salem+MA
202,127 km,1 hour 15 mins,107+Elm+St+Salisbury+MA,5+Forge+Parkway+Franklin+MA
